;Item;Patrimônio;Sit Física;Valor de Aquisição;Valor Bruto Atual;Descrição;Caracteristicas;;
;295;8393;INSERVÍVEL;2049;2049;NOTEBOOK COM PROCESSADOR;INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW;DATEN - MODELO: DT02 M5 - SERIE: 00250711;
;296;8433;INSERVÍVEL;338;338;CÂMERA FOTOGRÁFICA DIGITAL;COR PRATA;SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z701310R;
;297;8435;INSERVÍVEL;338;338;CÂMERA FOTOGRÁFICA DIGITAL;COR PRATA;SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z602490Y;
;298;8437;INSERVÍVEL;338;338;CÂMERA FOTOGRÁFICA DIGITAL;COR PRATA;SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z701350T;
;299;8439;INSERVÍVEL;338;338;CÂMERA FOTOGRÁFICA DIGITAL;COR PRATA;SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z505124H;
;300;8441;INSERVÍVEL;338;338;CÂMERA FOTOGRÁFICA DIGITAL;COR PRATA;SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z500773H;
;301;8442;INSERVÍVEL;338;338;CÂMERA FOTOGRÁFICA DIGITAL;COR PRATA;SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z701096Z;
;302;8505;INSERVÍVEL;360;111,6;BEBEDOURO DE AGUA TIPO GARRAFAO;TIPO COLUNA, EM AÇO INOX;LIBELL - MODELO: MASTER;
;303;8521;INSERVÍVEL;2271;2271;CENTRAL DE AR CONDICIONADO;APARELHO DE AR-CONDICIONADO COM CAPACIDADE DE;;
;304;8550;INSERVÍVEL;299,97;299,97;MONITOR DE VIDEO LCD;19 POLEGADAS, COR PRETA;HP - MODELO: L190HB - SERIE: BRG1110JPT;
;305;8552;INSERVÍVEL;299,97;299,97;MONITOR DE VIDEO LCD;19 POLEGADAS, COR PRETA;HP - MODELO: L190HB - SERIE: BRG1110JPH;
;306;8554;INSERVÍVEL;299,97;299,97;MONITOR DE VIDEO LCD;19 POLEGADAS, COR PRETA;HP - MODELO: L190HB - SERIE: BRG1110JPC;
;307;8562;INSERVÍVEL;299,97;299,97;MONITOR DE VIDEO LCD;19 POLEGADAS, COR PRETA;HP - MODELO: L190HB - SERIE: BRG1110JPK;
;308;8563;INSERVÍVEL;299,97;299,97;MONITOR DE VIDEO LCD;19 POLEGADAS, COR PRETA;HP - MODELO: L190HB - SERIE: BRG1110JPP;
;309;8572;INSERVÍVEL;269,99;269,99;MONITOR DE VIDEO LCD;19 POLEGADAS, WIDESCREEN;ITAUTEC - MODELO: L190HB - SERIE: 2025680;
;310;8581;INSERVÍVEL;269,99;269,99;MONITOR DE VIDEO LCD;19 POLEGADAS, WIDESCREEN;ITAUTEC - MODELO: L190HB - SERIE: 2026220;
;311;8590;INSERVÍVEL;269,99;269,99;MONITOR DE VIDEO LCD;19 POLEGADAS, WIDESCREEN;ITAUTEC - MODELO: L190HB - SERIE: 2025739;
;312;8596;INSERVÍVEL;269,99;269,99;MONITOR DE VIDEO LCD;19 POLEGADAS, WIDESCREEN;ITAUTEC - MODELO: L190HB - SERIE: 2028659;
;313;8613;INSERVÍVEL;269,99;269,99;MONITOR DE VIDEO LCD;19 POLEGADAS, WIDESCREEN;ITAUTEC - MODELO: L190HB - SERIE: 2026213;
;314;8615;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100255;
;315;8616;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100076;
;316;8617;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000212;
;317;8618;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800228;
;318;8620;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100337;
;319;8621;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000191;
;320;8622;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800341;
;321;8623;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100339;
;322;8625;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4002739500377;
;323;8628;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100338;
;324;8630;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100335;
;325;8633;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4002739500388;
;326;8634;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000376;
;327;8635;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800074;
;328;8636;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100330;
;329;8637;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100297;
;330;8638;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100308;
;331;8641;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800183;
;332;8642;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000165;
;333;8643;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100350;
;334;8644;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000389;
;335;8647;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100346;
;336;8648;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000099;
;337;8649;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100155;
;338;8650;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000267;
;339;8651;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100048;
;340;8652;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100256;
;341;8654;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100314;
;342;8655;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800213;
;343;8657;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800169;
;344;8658;INSERVÍVEL;1235,75;1235,75;MICROCOMPUTADOR COM PROCESSADOR;4GB;ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100128;
;345;8708;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140145;
;346;8711;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140136;
;347;8717;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713720134;
;348;8720;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140134;
;349;8723;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140120;
;350;8727;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140148;
;351;8729;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140149;
;352;8737;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140126;
;353;8743;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 5713140150;
;354;8747;INSERVÍVEL;175;67,58;NO BREAK ;STAY 700 USB, AUT/115, 220V;APC - SERIE: 571372130;
;355;8769;INSERVÍVEL;1407,55;1407,55;MICROCOMPUTADOR COM PROCESSADOR;4GB;POSITIVO - MODELO: I5PE - SERIE: 1A331CG4B;
;356;8776;INSERVÍVEL;1407,55;1407,55;MICROCOMPUTADOR COM PROCESSADOR;4GB;POSITIVO - MODELO: I5PE - SERIE: 1A3340V81;
;357;8780;INSERVÍVEL;1407,55;1407,55;MICROCOMPUTADOR COM PROCESSADOR;4GB;POSITIVO - MODELO: I5PE - SERIE: 1A3340W3F;
;358;8789;INSERVÍVEL;1407,55;1407,55;MICROCOMPUTADOR COM PROCESSADOR;4GB;POSITIVO - MODELO: I5PE - SERIE: 1A3340Z15;
;359;8826;INSERVÍVEL;1210;1210;IMPRESSORA MATRICIAL;;EPSON - MODELO: LQ-590 - SERIE: FSRY023247;
;360;8828;INSERVÍVEL;1210;1210;IMPRESSORA MATRICIAL;;EPSON - MODELO: LQ-590 - SERIE: FSRY024170;
;361;8838;INSERVÍVEL;3999;1539,82;CENTRAL DE AR CONDICIONADO;SPLIT, PISO-TETO, 48000 BTU'S UN EXTERNA: C101342370911424130035;KOMECO - MODELO: KOP48FC - SERIE: C101342370211402130020;
;362;8839;INSERVÍVEL;3999;1539,82;CENTRAL DE AR CONDICIONADO;SPLIT, PISO-TETO, 48000 BTU'S UN EXTERNA: C101342370911424130037;KOMECO - MODELO: KOP48FC - SERIE: C101342370211402130002;
;363;8840;INSERVÍVEL;3999;1539,82;CENTRAL DE AR CONDICIONADO;SPLIT, PISO-TETO, 48000 BTU'S UN EXTERNA: C101342370911424130001;KOMECO - MODELO: KOP48FC - SERIE: C101342370211402130032;
;364;8842;INSERVÍVEL;33600;33600;SERVIDOR DE ARMAZENAMENTO DE DADOS;UNIDADE DE BACKUP TAPE LIBRARY;IBM - MODELO: TS3200 - SERIE: S78P4319;
;365;8848;INSERVÍVEL;5227;5227;MICROCOMPUTADOR TIPO ESTAÇÃO DE TRABALHO;4GB;HP - MODELO: Z600 - SERIE: BRG135FB4L;
;366;8853;INSERVÍVEL;1913;765;CENTRAL DE AR CONDICIONADO;30 MIL BTU'S 220V UN EXTERNA: H30ABC051101100065;RHEEM - MODELO: RB1HW24HP2BE - SERIE: H30ABE051101100661;
;367;8867;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL CABO USB;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIB700475L;
;368;8868;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL CABO USB;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAKB400572K;
;369;8875;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL CABO USB;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAAB800130R;
;370;8877;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL CABO USB;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIB700443P;
;371;8880;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL CABO USB;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIB700418B;
;372;8883;INSERVÍVEL;799;799;REFRIGERADOR TIPO RESIDENCIAL;01 PORTA, 240 L, COR BRANCA;ELECTROLUX - MODELO: RE28 - SERIE: 14001355;
;373;8898;INSERVÍVEL;1913;779,35;CENTRAL DE AR CONDICIONADO;SPLIT, 30000 BTUS, 220V;RHEEM - MODELO: RB1HW30AC2BS - SERIE: H30ABE051101100398;
;374;8904;INSERVÍVEL;537,75;537,75;CADEIRA GIRATORIA EM TECIDO;COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA;FLEXFORM - MODELO: PLUS;
;375;8913;INSERVÍVEL;537,75;537,75;CADEIRA GIRATORIA EM TECIDO;COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA;FLEXFORM - MODELO: PLUS;
;376;8927;INSERVÍVEL;537,75;537,75;CADEIRA GIRATORIA EM TECIDO;COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA;FLEXFORM - MODELO: PLUS;
;377;8978;INSERVÍVEL;537,75;537,75;CADEIRA GIRATORIA EM TECIDO;COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA;FLEXFORM - MODELO: PLUS;
;378;9030;INSERVÍVEL;939;939;IMPRESSORA TÉRMICA - SERIE: 41J113702382;ZEBRA - MODELO: TLP 2844;;
;379;9033;INSERVÍVEL;939;939;IMPRESSORA TÉRMICA - SERIE: 41J113702381;ZEBRA - MODELO: TLP 2844;;
;380;9036;INSERVÍVEL;766;766;MINI-CENTRAL DE AR CONDICIONADO;TIPO SPLIT CICLO FRIO 220V UN EXT: 2712ECBA206;ELECTROLUX - MODELO: PI12F - SERIE: 2712ICBA206;
;381;9037;INSERVÍVEL;766;766;MINI-CENTRAL DE AR CONDICIONADO;TIPO SPLIT 12 MIL BTU'S CICLO FRIO 220V UN EXT: 2712ECBA206;ELECTROLUX - MODELO: PI12F - SERIE: 2712ICBA206;
;382;9046;INSERVÍVEL;1960;1960;NOTEBOOK COM PROCESSADOR;INTEL CORE I3-2330M (2,20GHZ), TELA LED 14 WIDESCREEN, HD 320 GB STA-2 7200RPM, MEMÓRIA 2GB (DDR3);HP - MODELO: PROBOOK 4430S - SERIE: BRG207F1F2;
;383;9051;INSERVÍVEL;752,35;752,35;IMPRESSORA LASER;MONOCROMÁTICA;SAMSUNG - MODELO: ML-3710ND - SERIE: Z5HABAGBC02493X;
;384;9053;INSERVÍVEL;752,35;752,35;IMPRESSORA LASER;MONOCROMÁTICA;SAMSUNG - MODELO: ML-3710ND - SERIE: Z5HABAGBC02335P;
;385;9059;INSERVÍVEL;752,35;752,35;IMPRESSORA LASER;MONOCROMÁTICA;SAMSUNG - MODELO: ML-3710ND;
;386;9104;INSERVÍVEL;946;946;IMPRESSORA MATRICIAL;EPSON - MODELO: LQ-590 - SERIE: FSRY032967;;
;387;9148;INSERVÍVEL;140,58;61,83;MESA DE USO DIVERSO EM PLASTICO;RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA) COR BRANCA;TRAMONTINA - MODELO: BALI;
;388;9158;INSERVÍVEL;140,58;61,83;MESA DE USO DIVERSO EM PLASTICO;RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA) COR BRANCA;TRAMONTINA - MODELO: BALI;
;389;9160;INSERVÍVEL;140,58;61,83;MESA DE USO DIVERSO EM PLASTICO;RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA) COR BRANCA;TRAMONTINA - MODELO: BALI;
;390;9161;INSERVÍVEL;140,58;61,83;MESA DE USO DIVERSO EM PLASTICO;RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA) COR BRANCA;TRAMONTINA - MODELO: BALI;
;391;9166;INSERVÍVEL;309;135;MICROFONE SEM FIO;DE MÃO ALIMENTAÇÃO COM 2 PILHAS AA UHF;LYCO - MODELO: UH01M - SERIE: UH01M12110000322;
;392;9170;INSERVÍVEL;309;135;MICROFONE SEM FIO;DE MÃO ALIMENTAÇÃO COM 2 PILHAS AA UHF;LYCO - MODELO: UH01M - SERIE: UH01M12110001086;
;393;9172;INSERVÍVEL;309;135;MICROFONE SEM FIO;DE MÃO ALIMENTAÇÃO COM 2 PILHAS AA UHF;LYCO - MODELO: UH01M - SERIE: UH01M12110000709;
;394;9174;INSERVÍVEL;309;135;MICROFONE SEM FIO;DE MÃO ALIMENTAÇÃO COM 2 PILHAS AA UHF;LYCO - MODELO: UH01M - SERIE: UH01M12110000939;
;395;9177;INSERVÍVEL;309;135;MICROFONE SEM FIO;DE MÃO ALIMENTAÇÃO COM 2 PILHAS AA UHF;LYCO - MODELO: UH01M - SERIE: UH01M12110000587;
;396;9181;INSERVÍVEL;318,82;318,82;NO BREAK ;RAGTECH - MODELO: IFH 1300 - SERIE: 12130028;;
;397;9182;INSERVÍVEL;318,82;318,82;NO BREAK ;RAGTECH - MODELO: IFH 1300 - SERIE: 12130004;;
;398;9183;INSERVÍVEL;318,82;318,82;NO BREAK ;RAGTECH - MODELO: IFH 1300 - SERIE: 12130015;;
;399;9186;INSERVÍVEL;318,82;318,82;NO BREAK ;RAGTECH - MODELO: IFH 1300 - SERIE: 12130012;;
;400;9189;INSERVÍVEL;318,82;318,82;NO BREAK ;RAGTECH - MODELO: IFH 1300 - SERIE: 12130029;;
;401;9191;INSERVÍVEL;318,82;318,82;NO BREAK ;RAGTECH - MODELO: IFH 1300 - SERIE: 12130018;;
;402;9215;INSERVÍVEL;102;102;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE;EARSET - MODELO: K65/X19 - SERIE: A458802;;
;403;9222;INSERVÍVEL;102;102;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE;EARSET - MODELO: K65/X19 - SERIE: A458785;;
;404;9224;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAKB400750T;
;405;9229;INSERVÍVEL;1322;1322;IMPRESSORA LASER;MULTIFUNCIONAL;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAKB400911D;
;406;9234;INSERVÍVEL;1362,36;1362,36;IMPRESSORA LASER;MULTIFUNCIONAL;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIBC00704J;
;407;9237;INSERVÍVEL;1362,36;1362,36;IMPRESSORA LASER;MULTIFUNCIONAL;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIBC00768T;
;408;9239;INSERVÍVEL;1362,36;1362,36;IMPRESSORA LASER;MULTIFUNCIONAL;SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIBC00610E;
;409;9243;INSERVÍVEL;894;397,46;MESA PARA AUDIÊNCIA;OVAL EM MELAMÍNICO MEDIDAS 1500CM X 2000CM;;
;410;9251;INSERVÍVEL;1913;879,8;CENTRAL DE AR CONDICIONADO;30 MIL BTU'S SPLIT 220V UN EXT: 1580949;ELGIN - MODELO: SRFI-30000-2 - SERIE: 1576978;
;411;9257;INSERVÍVEL;1913;879,8;CENTRAL DE AR CONDICIONADO;30 MIL BTU'S SPLIT 220V UN EXT: 1580814;ELGIN - MODELO: SRFI-30000-2 - SERIE: 1576979;
;412;9264;INSERVÍVEL;680;680;MINI-CENTRAL DE AR CONDICIONADO;9 MIL BTU'S 200V UN EXT 20903006;ELECTROLUX - SERIE: 20904349;
;413;9266;INSERVÍVEL;680;680;MINI-CENTRAL DE AR CONDICIONADO;9 MIL BTU'S 200V UN EXT 20903020;ELECTROLUX - SERIE: 20904745;
;414;9267;INSERVÍVEL;680;680;MINI-CENTRAL DE AR CONDICIONADO;9 MIL BTU'S 200V UN EXT 12006523;ELECTROLUX - SERIE: 20904749;
;415;9280;INSERVÍVEL;508,67;233,63;CAIXA DE SOM AMPLIFICADA;HAYONIC - MODELO: NEO 400 USB;COM ENTRADA USB 60W DE POTÊNCIA;
;416;9294;INSERVÍVEL;2000;2000;CENTRAL DE AR CONDICIONADO;SPLIT 30 MIL BTU'S 220V UEX: C101382843411A14130095;MIDEA - MODELO: MSE1-30CR - SERIE: C1011382841811A14150197;
;417;9296;INSERVÍVEL;2000;2000;CENTRAL DE AR CONDICIONADO;SPLIT 30 MIL BTU'S 220V UEX: C101382843411A14130094;MIDEA - MODELO: MSE1-30CR - SERIE: C1011382841811A14150189;
;418;9311;INSERVÍVEL;3200;1496;CENTRAL DE AR CONDICIONADO;60 MIL BTU'S TENSÃO 220V U EXT: 21000180;ELECTROLUX - MODELO: CFI60 - SERIE: 21600124;
;419;9317;INSERVÍVEL;460;460;APARELHO DE FAX;PARA PAPEL COMUM COM IDENTIFICADOR DE CHAMADAS;BROTHER - MODELO: FAX-575 - SERIE: U61361MOK971506;
;420;9318;INSERVÍVEL;460;460;APARELHO DE FAX;PARA PAPEL COMUM COM IDENTIFICADOR DE CHAMADAS;BROTHER - MODELO: FAX-575 - SERIE: U61361L8K150711;
;421;9320;INSERVÍVEL;460;460;APARELHO DE FAX;PARA PAPEL COMUM COM IDENTIFICADOR DE CHAMADAS;BROTHER - MODELO: FAX-575 - SERIE: U61361MOK971353;
;422;9458;INSERVÍVEL;1095;1095;MICROCOMPUTADOR PORTATIL (NETBOOK) COM PROCESSADOR;INTEL ATOM N570 166MHZ, MEMÓRIA: 2GB DDR3, HD: 500GB, TELA:101, WEBCAM E MICROFONE EMBUTIDOS;ACER - MODELO: ASPIRE ONE D257 - SERIE: 13002814676;
;423;9471;INSERVÍVEL;1095;1095;MICROCOMPUTADOR PORTATIL (NETBOOK) COM PROCESSADOR;INTEL ATOM N570 166MHZ, MEMÓRIA: 2GB DDR3, HD: 500GB, TELA:101, WEBCAM E MICROFONE EMBUTIDOS;ACER - MODELO: ASPIRE ONE D257 - SERIE: 13002037176;
;424;9484;INSERVÍVEL;1425;1425;CONDICIONADOR DE AR DE PAREDE;TIPO JANELA 21 MIL BTU'S 220V;SPRINGER - MODELO: SILENTIA - SERIE: 1907B05312;
;425;9485;INSERVÍVEL;1425;1425;CONDICIONADOR DE AR DE PAREDE;TIPO JANELA 21 MIL BTU'S 220V;SPRINGER - MODELO: SILENTIA - SERIE: 1910B13675;
