Item;Patrimônio;Garantia;Garantia_fim;Marca;Modelo;Série;Modelo;Descrição;
182;6852;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
183;6854;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
184;6855;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
185;6856;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
186;6857;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
187;6858;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
188;6967;;;MITRA;;;CINZEIRO LIXEIRA ; INOX MEDINDO 0;30 CM DIAMETRO X 0;70 CM ALTURA ;;
189;6968;;;MITRA;;;CINZEIRO LIXEIRA ; INOX MEDINDO 0;30 CM DIAMETRO X 0;70 CM ALTURA ;;
190;6976;;;;;;BANCADA DE TRABALHO  ; PARA SUPORTE DE URNAS ELETRÔNICAS;
191;6979;;;;;;BANCADA DE TRABALHO  ; PARA SUPORTE DE URNAS ELETRÔNICAS;
192;6984;;;;;;BANCADA DE TRABALHO  ; PARA SUPORTE DE URNAS ELETRÔNICAS;
193;7044;15/04/2008 ; 14/04/2009;;PLANTRONICS;CT 12;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE ; SEM FIO 24 GHZ;
194;7045;15/04/2008 ; 14/04/2009;;PLANTRONICS;CT 12;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE ; SEM FIO 24 GHZ;
195;7046;15/04/2008 ; 14/04/2009;;PLANTRONICS;CT 12;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE ; SEM FIO 24 GHZ;
196;7052;;;BROTHER;FAX-575;U61361L7K900370;APARELHO DE FAX ; PAPEL A4;
197;7053;;;CCE;700USX;JMC3688FGTNI00GBA;DVD PLAYER ; COM CONTROLE;
198;7073;15/05/2008 ; 15/05/2008;;WACUM;GTE-650;MESA DIGITAL ; DE 6X8;
199;7079;30/05/2008 ; 30/05/2008;;GREE;;CONDICIONADOR DE AR DE PAREDE ; 21000 BTU´S; TENSÃO 220 V;;
200;7097;20/06/2008 ; 16/06/2009;;EPSON;EMP-X5;PROJETOR MULTIMIDIA ; RESOLUÇÃO NATIVA XGA (1024 X 768);
201;7102;25/06/2008 ; 20/06/2009;;HP;G2710;SCANNER DE MESA ; FOTOGRÁFICO SCANJET;
202;7103;25/06/2008 ; 20/06/2009;;HP;G2710;SCANNER DE MESA ; FOTOGRÁFICO SCANJET;
203;7115;15/07/2008 ; 09/07/2010;;MELCOM;ST-P101A;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE;;
204;7160;31/07/2008 ; 11/03/2011;;TRELLIS;M56K;MODEM  ; EXTERNO 56K;
205;7185;30/07/2008 ; 24/07/2009;;;;POLTRONA GIRATORIA EM COURVIM ; TIPO DIRETOR; COM BRAÇOS; ESPALDAR MÉDIO;;
206;7187;30/07/2008 ; 24/07/2009;;;;POLTRONA GIRATORIA EM COURVIM ; COM BRAÇOS; ESPALDAR MÉDIO; COR PRETA;;
207;7191;30/07/2008 ; 24/07/2009;;;;POLTRONA GIRATORIA EM COURVIM ; COM BRAÇOS; ESPALDAR MÉDIO; COR PRETA;;
208;7192;30/07/2008 ; 24/07/2009;;;;POLTRONA GIRATORIA EM COURVIM ; COM BRAÇOS; ESPALDAR MÉDIO; COR PRETA;;
209;7194;30/07/2008 ; 24/07/2009;;;;POLTRONA GIRATORIA EM COURVIM ; COM BRAÇOS; ESPALDAR MÉDIO; COR PRETA;;
210;7215;30/08/2008 ; 04/08/2009;;ADATTARE;ADATTARE;ARMÁRIO ALTO EXECUTIVO  - C/ DUAS PORTAS DE CORRER ; MEDINDO 90X50X163;
211;7246;15/08/2008 ; 15/08/2009;;MOBILE;MOBILE;BALCAO DE ATENDIMENTO - EM MDF SOB MEDIDA ; BALCÃO DE ATENDIMENTO;
212;7248;15/08/2008 ; 15/08/2009;;MOBILE;MOBILE;SUPORTE SUPORTE PARA CPU ; SUPORTE PARA CPU;
213;7249;15/08/2008 ; 15/08/2009;;MOBILE;MOBILE;SUPORTE SUPORTE PARA CPU ; SUPORTE PARA CPU;
214;7265;30/08/2008 ; 05/08/2009;;ELECTROLUX;;MINI-CENTRAL DE AR CONDICIONADO ; 30000 BTUS;
215;7272;10/09/2008 ; 10/09/2009;;SAMSUNG;S860;CÂMERA FOTOGRÁFICA DIGITAL ; 81 MEGAPIXELS; ZOOM ÓPTICO 3X; LCD 2;4 ;;
216;7273;10/09/2008 ; 10/09/2009;;SAMSUNG;S860;CÂMERA FOTOGRÁFICA DIGITAL ; 81 MEGAPIXELS; ZOOM ÓPTICO 3X; LCD 2;4 ;;
217;7275;10/09/2008 ; 10/09/2009;;SAMSUNG;S860;CÂMERA FOTOGRÁFICA DIGITAL ; 81 MEGAPIXELS; ZOOM ÓPTICO 3X; LCD 2;4 ;;
218;7277;10/09/2008 ; 10/09/2009;;SAMSUNG;S860;CÂMERA FOTOGRÁFICA DIGITAL ; 81 MEGAPIXELS; ZOOM ÓPTICO 3X; LCD 2;4 ;;
219;7279;10/09/2008 ; 10/09/2009;;SAMSUNG;S860;CÂMERA FOTOGRÁFICA DIGITAL ; 81 MEGAPIXELS; ZOOM ÓPTICO 3X; LCD 2;4 ;;
220;7296;27/02/2008 ; 11/01/2009;;KOMECO;SPLIT;MINI-CENTRAL DE AR CONDICIONADO ; MINI-CENTRAL DE AR CONDICIONADO SPLIT; 12000 BTUS KOS 12 FC-G2B;;
221;7346;13/10/2008 ; 10/10/2009;;SMS;NET4+;NO BREAK  ; 14 KVA;
222;7393;18/09/2008 ; 15/09/2008;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E6750 (266 GHZ); 2 GB DE MEMÓRIA RAM ; DISCO RÍGIDO 160GB;;
223;7394;18/09/2008 ; 15/09/2008;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E6750 (266 GHZ); 2 GB DE MEMÓRIA RAM ; DISCO RÍGIDO 160GB;;
224;7399;18/09/2008 ; 15/09/2008;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E6750 (266 GHZ); 2 GB DE MEMÓRIA RAM ; DISCO RÍGIDO 160GB;;
225;7402;18/09/2008 ; 15/09/2008;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E6750 (266 GHZ); 2 GB DE MEMÓRIA RAM ; DISCO RÍGIDO 160GB;;
226;7420;07/10/2008 ; 01/10/2009;;AOC;718SWAG-1;MONITOR LCD - CRISTAL LIQUIDO ; SVGA; 17 POLEGADAS;;
227;7429;07/10/2008 ; 01/10/2009;;AOC;177SA-1;MONITOR LCD - CRISTAL LIQUIDO ; SVGA; 17 POLEGADAS;;
228;7433;07/10/2008 ; 01/10/2009;;AOC;177SA-1;MONITOR LCD - CRISTAL LIQUIDO ; SVGA; 17 POLEGADAS;;
229;7454;07/10/2008 ; 07/10/2009;;ELGIN;;CALCULADORA  ELETRONICA ; DE MESA COM VISOR E IMPRESSORA;
230;7488;30/10/2008 ; 13/10/2009;;LENOVO;6073BA4;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO; 2GB RAM; HD 160 GB; DVD/RW;;
231;7504;30/10/2008 ; 13/10/2009;;LENOVO;4428-AB1;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
232;7505;30/10/2008 ; 13/10/2009;;LENOVO;4428-AB1;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
233;7558;06/11/2008 ; 31/10/2008;;HP;;UNIDADE DE BACKUP ; LTO;
234;7569;22/12/2008 ; 19/12/2009;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E8400 (30 GHZ); 2GB RAM; HD 160 GB; DVD/RW;;
235;7573;22/12/2008 ; 19/12/2009;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E8400 (30 GHZ); 2GB RAM; HD 160 GB; DVD/RW;;
236;7577;22/12/2008 ; 19/12/2009;;LENOVO;THINKCENTRE M57P;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E8400 (30 GHZ); 2GB RAM; HD 160 GB; DVD/RW;;
237;7598;13/03/2009 ; 13/03/2010;;BROTHER;FAX-575;APARELHO DE FAX;;
238;7622;08/06/2009 ; 05/11/2009;;MENNO;;DESUMIDIFICADOR DE PAPEL ; CAPACIDADE 1500 FLS;
239;7657;17/06/2009 ; 17/06/2010;;SKP PRO AUDIO;UHF 255;SISTEMA DE MICROFONES SEM FIO ; DUPLO; CONTENDO: 01 RECEPTOR (S/N 255080901417) E 02 MICROFONES DE MÃO;;
240;7714;26/10/2009 ; 26/10/2010;;MOTOMIL;LM-1600;LAVADORA  DE ALTA PRESSÃO ; POTÊNCIA: 1600 W; VAZÃO: 360 L/H;;
241;7808;17/11/2009 ; 17/11/2010;;SCHNEIDER;BC-98SC;MOTO BOMBA CENTRIFUGA ; 1/2CV; MONOFÁSICA; 60HZ;;
242;7809;24/11/2009 ; 24/11/2010;;SPRINGER;MINIMAXI;CONDICIONADOR DE AR DE PAREDE ; 12000 BTUS; 220 V;;
243;7810;24/11/2009 ; 24/11/2010;;SPRINGER;MINIMAXI;CONDICIONADOR DE AR DE PAREDE ; 12000 BTUS; 220 V;;
244;7828;;;ESMALTEC;EGC35B;12051406763645;BEBEDOURO DE AGUA EM AÇO INOX ; TIPO COLUNA;
245;7843;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
246;7844;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
247;7845;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
248;7846;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
249;7850;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
250;7852;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
251;7853;20/01/2010 ; 19/01/2013;;HP;LASERJET P2055DN;IMPRESSORA LASER ; MONOCROMÁTICA;
252;7854;20/01/2010 ; 11/01/2010;;EPSON;LQ-590;IMPRESSORA MATRICIAL;;
253;7856;20/01/2010 ; 11/01/2010;;EPSON;LQ-590;IMPRESSORA MATRICIAL;;
254;7865;;;EBA;5140S;;FRAGMENTADORA DE PAPEL ; FRAGMENTADORA DE PAPEL MARCA EBA; MODELO 5140S;;
255;7869;;;HP;LASERJET P2055DN;BRBH9DH527;IMPRESSORA LASERJET;;
256;7870;;;HP;LASERJET P2055DN;BRBH9DH52W;IMPRESSORA LASERJET;;
257;7871;;;HP;LASERJET P2055DN;BRBH9DH530;IMPRESSORA LASERJET;;
258;7872;;;HP;LASERJET P2055DN;BRBH9DH5HJ;IMPRESSORA LASERJET;;
259;7873;;;HP;LASERJET P2055DN;BRBH9DH52M;IMPRESSORA LASERJET;;
260;7874;;;HP;LASERJET P2055DN;BRBH9DH52N;IMPRESSORA LASERJET;;
261;7878;;;HP;LASERJET P2055DN;BRBH9DH528;IMPRESSORA LASERJET;;
262;7879;;;HP;LASERJET P2055DN;BRBH9DH5B9;IMPRESSORA LASERJET;;
263;7880;;;HP;LASERJET P2055DN;BRBH9DH52T;IMPRESSORA LASERJET;;
264;7882;;;HP;LASERJET P2055DN;BRBH9DH52X;IMPRESSORA LASERJET;;
265;7886;;;HP;LASERJET P2055DN;BRBH9DH52B;IMPRESSORA LASERJET;;
266;7887;;;HP;LASERJET P2055DN;BRBH9DH52P;IMPRESSORA LASERJET;;
267;7904;;;;;;FOGAO TIPO RESIDENCIAL ; 04 (QUATRO) BOCAS; FORNO AUTOLIMPANTE;;
268;7930;;;EPSON;LQ-590;FSQY152015;IMPRESSORA MATRICIAL;;
269;7932;;;;;PS003-0225/V2;PAINEL ELETRONICO ; DE SENHAS;
270;7942;;;;;;CARRO TUBULAR PARA TRANSPORTE DE MATERIAL; 2 RODAS;;
271;8054;;;OREGON;OS6014;28521411;APARELHO TELEFONICO SEM FIO ; TELEFONE SEM FIO [HANDSET];
272;8059;;;OREGON;OS6014;28521416;APARELHO TELEFONICO SEM FIO ; TELEFONE SEM FIO [HANDSET];
273;8084;;;SMS;NW 1300BI;;NO BREAK  ; NO BREAK SMS MODELO NETWINNER 1300BI;
274;8092;;;BLACK BOX;;;MONITOR KVM 17 POLEGADAS COM TECLADO;;
275;8111;;;;;;CADEIRA GIRATORIA EM TECIDO ; ESPALDAR MÉDIO; COR PRETA;;
276;8113;;;;;;CADEIRA GIRATORIA EM TECIDO ; ESPALDAR MÉDIO; COR PRETA;;
277;8114;;;;;;CADEIRA GIRATORIA EM TECIDO ; ESPALDAR MÉDIO; COR PRETA;;
278;8117;;;;;;CADEIRA GIRATORIA EM TECIDO ; ESPALDAR MÉDIO; COR PRETA;;
279;8121;;;;;;CADEIRA GIRATORIA EM TECIDO ; ESPALDAR MÉDIO; COR PRETA;;
280;8151;;;LENOVO;THINKVISION L2250P;V6-E8944;MONITOR LCD - CRISTAL LIQUIDO ; 22 WIDESCREEN;;
281;8186;21/08/2010 ; 21/08/2013;;LENOVO;THINKCENTRE M58;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E7500 (293 GHZ); 2 X 2 GB DE RAM; HD 320 GB; DVDRW;;
282;8192;21/08/2010 ; 21/08/2013;;LENOVO;THINKCENTRE M58;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E7500 (293 GHZ); 2 X 2 GB DE RAM; HD 320 GB; DVDRW;;
283;8195;21/08/2010 ; 21/08/2013;;LENOVO;THINKCENTRE M58;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E7500 (293 GHZ); 2 X 2 GB DE RAM; HD 320 GB; DVDRW;;
284;8201;21/08/2010 ; 21/08/2013;;LENOVO;THINKCENTRE M58;MICROCOMPUTADOR COM PROCESSADOR ; INTEL CORE 2 DUO E7500 (293 GHZ); 2 X 2 GB DE RAM; HD 320 GB; DVDRW;;
285;8344;;;SIEMENS;GIGASET C385;0166F2F800;APARELHO TELEFONICO SEM FIO COM HEADSET ; TELEFONE GIGASET C38H; HEADSET PLANTRONICS;;
286;8347;;;SIEMENS;GIGASET C385;0166F2F260;APARELHO TELEFONICO SEM FIO COM HEADSET ; TELEFONE GIGASET C38H; HEADSET PLANTRONICS;;
287;8350;;;SIEMENS;GIGASET C385;01666CEFC0;APARELHO TELEFONICO SEM FIO COM HEADSET ; TELEFONE GIGASET C38H; HEADSET PLANTRONICS;;
288;8351;;;SIEMENS;GIGASET C385;0166F1EE60;APARELHO TELEFONICO SEM FIO COM HEADSET ; TELEFONE GIGASET C38H; HEADSET PLANTRONICS;;
289;8352;;;SIEMENS;GIGASET C385;0166F2AB00;APARELHO TELEFONICO SEM FIO COM HEADSET ; TELEFONE GIGASET C38H; HEADSET PLANTRONICS;;
290;8354;;;SIEMENS;GIGASET C385;01666DE640;APARELHO TELEFONICO SEM FIO COM HEADSET ; TELEFONE GIGASET C38H; HEADSET PLANTRONICS;;
291;8369;;;GARTHEN;GC-1100;;CORTADOR DE GRAMA ELÉTRICO;;
292;8370;;;TRAMONTINA;;;CARRINHO DE MÃO ; COM CAÇAMBA EM POLIPROPILENO;
293;8389;;;DATEN;DT02 M5;250658;NOTEBOOK COM PROCESSADOR ; INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW;
294;8391;;;DATEN;DT02 M5;250776;NOTEBOOK COM PROCESSADOR ; INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW;
295;8393;;;DATEN;DT02 M5;250711;NOTEBOOK COM PROCESSADOR ; INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW;
296;8433;;;SAMSUNG;ES70;0942C90Z701310R;CÂMERA FOTOGRÁFICA DIGITAL ; COR PRATA;
297;8435;;;SAMSUNG;ES70;0942C90Z602490Y;CÂMERA FOTOGRÁFICA DIGITAL ; COR PRATA;
298;8437;;;SAMSUNG;ES70;0942C90Z701350T;CÂMERA FOTOGRÁFICA DIGITAL ; COR PRATA;
299;8439;;;SAMSUNG;ES70;0942C90Z505124H;CÂMERA FOTOGRÁFICA DIGITAL ; COR PRATA;
300;8441;;;SAMSUNG;ES70;0942C90Z500773H;CÂMERA FOTOGRÁFICA DIGITAL ; COR PRATA;
301;8442;;;SAMSUNG;ES70;0942C90Z701096Z;CÂMERA FOTOGRÁFICA DIGITAL ; COR PRATA;
302;8505;;;LIBELL;MASTER;;BEBEDOURO DE AGUA TIPO GARRAFAO ; TIPO COLUNA; EM AÇO INOX;;
303;8521;;;MIDEA;MSE1-30CR;C101236701710728120371;CENTRAL DE AR CONDICIONADO ; APARELHO DE AR-CONDICIONADO COM CAPACIDADE DE
REFRIGERAÇÃO DE 30000 BTUS; TENSÃO 110/220V; UEX C101261560810A26130005;;
304;8550;;;HP;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; COR PRETA;;
305;8552;;;HP;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; COR PRETA;;
306;8554;;;HP;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; COR PRETA;;
307;8562;;;HP;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; COR PRETA;;
308;8563;;;HP;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; COR PRETA;;
309;8572;;;ITAUTEC;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; WIDESCREEN;;
310;8581;;;ITAUTEC;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; WIDESCREEN;;
311;8590;;;ITAUTEC;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; WIDESCREEN;;
312;8596;;;ITAUTEC;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; WIDESCREEN;;
313;8613;;;ITAUTEC;L190HB;;MONITOR DE VIDEO LCD ; 19 POLEGADAS; WIDESCREEN;;
314;8615;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
315;8616;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
316;8617;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
317;8618;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
318;8620;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
319;8621;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
320;8622;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
321;8623;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
322;8625;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
323;8628;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
324;8630;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
325;8633;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
326;8634;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
327;8635;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
328;8636;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
329;8637;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
330;8638;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
331;8641;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
332;8642;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
333;8643;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
334;8644;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
335;8647;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
336;8648;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
337;8649;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
338;8650;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
339;8651;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
340;8652;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
341;8654;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
342;8655;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
343;8657;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
344;8658;31/05/2011 ; 31/05/2015;;ITAUTEC;INFOWAY SM 3330;MICROCOMPUTADOR COM PROCESSADOR 4GB;
345;8708;;;APC;;5713140145;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
346;8711;;;APC;;5713140136;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
347;8717;;;APC;;5713720134;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
348;8720;;;APC;;5713140134;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
349;8723;;;APC;;5713140120;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
350;8727;;;APC;;5713140148;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
351;8729;;;APC;;5713140149;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
352;8737;;;APC;;5713140126;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
353;8743;;;APC;;5713140150;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
354;8747;;;APC;;571372130;NO BREAK  ; STAY 700 USB; AUT/115; 220V;;
355;8769;17/06/2011 ; 17/06/2015;;POSITIVO;I5PE;MICROCOMPUTADOR COM PROCESSADOR 4GB;
356;8776;17/06/2011 ; 17/06/2015;;POSITIVO;I5PE;MICROCOMPUTADOR COM PROCESSADOR 4GB;
357;8780;17/06/2011 ; 17/06/2015;;POSITIVO;I5PE;MICROCOMPUTADOR COM PROCESSADOR 4GB;
358;8789;17/06/2011 ; 17/06/2015;;POSITIVO;I5PE;MICROCOMPUTADOR COM PROCESSADOR 4GB;
359;8826;;;EPSON;LQ-590;FSRY023247;IMPRESSORA MATRICIAL ; ;
360;8828;;;EPSON;LQ-590;FSRY024170;IMPRESSORA MATRICIAL ; ;
