Item,Patrimonio,Sit Física,Valor de Aquisição,Valor Bruto Atual,Garantia_inicio,Garantia_fim,Modelo,Descricao,Caraacteristicas
1,10,INSERVIVEL,110,11,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA,CLARA COM 02 GAVETAS
2,28,INSERVIVEL,"134,4","13,44",,,,MESA PARA ESCRITORIO EM MADEIRA,CLARA COM 03 GAVETAS
3,93,INSERVIVEL,145,"14,5",,,,ARQUIVO EM ACO,COR CINZA COM 04 GAVETAS
4,128,INSERVIVEL,"156,09","15,61",,,,ARQUIVO EM ACO,COR CINZA COM 04 GAVETAS
5,179,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
6,181,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
7,182,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
8,199,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
9,200,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
10,202,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
11,219,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
12,220,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
13,221,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
14,222,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
15,225,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
16,465,INSERVIVEL,83,"8,3",,,SUPER HOBBY,FURADEIRA ELETRICA PORTATIL,
17,616,INSERVIVEL,215,"21,5",,,,MESA PARA MICROCOMPUTADOR,COM ACABAMENTO EM LAMINADO MELAMINICO
18,772,INSERVIVEL,200,20,,,,ESTANTE EM MADEIRA,CLARA COM 03 PRATELEIRAS E 02 PORTAS
19,852,INSERVIVEL,430,43,,,104,BALANCA DE PLATAFORMA,
20,1030,INSERVIVEL,341,"34,1",,,CTP-3791 P,TELEVISOR EM CORES,14 POLEGADAS
21,1053,INSERVIVEL,100,10,,,,MESA DE CENTRO,CLARA COM 03 PRATELEIRAS
22,1074,INSERVIVEL,341,"34,1",,,CTP-3791P,TELEVISOR EM CORES,14 POLEGADAS
23,1230,INSERVIVEL,93,"9,3",,,,GAVETEIRO VOLANTE EM MADEIRA,COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS
24,1411,INSERVIVEL,141,"14,1",,,,MESA PARA ESCRITORIO EM MADEIRA,CLARA COM 03 GAVETAS
25,1895,INSERVIVEL,234,"23,4",,,,TELA PARA PROJECAO,
26,2063,INSERVIVEL,247,"24,7",,,GELAGUA,BEBEDOURO DE AGUA TIPO GARRAFAO,COR BEGE COM 02 TORNEIRAS
27,2082,INSERVIVEL,"83,2","8,32",,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA,CLARA COM 02 GAVETAS
28,2110,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
29,2111,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
30,2112,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
31,2150,INSERVIVEL,380,38,,,,FICHARIO EM ACO,COR CINZA COM 08 GAVETAS
32,2158,INSERVIVEL,190,19,,,VERONA,FOGAO TIPO RESIDENCIAL,COR BRANCA COM 04 QUEIMADORES
33,2291,INSERVIVEL,220,22,,,80,BOMBA PARA ABASTECIMENTO - GERADOR,
34,2292,INSERVIVEL,180,18,,,,EXTINTOR DE INCENDIO PQS,CAPACIDADE 04 QUILOS
35,2464,INSERVIVEL,"259,68","25,97",,,105GFNI,BEBEDOURO DE AGUA TIPO GARRAFAO,COM 02 TORNEIRAS
36,2590,INSERVIVEL,130,13,,,,ARQUIVO EM ACO,COR CINZA COM 04 GAVETAS
37,2618,INSERVIVEL,"83,72","8,37",,,,CADEIRA GIRATORIA EM TECIDO,COR PRETA COM ESTRUTURA EM METAL
38,2652,INSERVIVEL,399,"39,9",16/08/2000,14/08/2001,,REFRIGERADOR TIPO FRIGOBAR,
39,2902,INSERVIVEL,106,"10,6",,,,BANCO DE ESPERA EM PALHINA,C/ 03 LUGARES
40,2904,INSERVIVEL,106,"10,6",,,,BANCO DE ESPERA EM PALHINA,C/ 03 LUGARES
41,2907,INSERVIVEL,106,"10,6",,,,BANCO DE ESPERA EM PALHINA,C/ 03 LUGARES
42,3128,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETÁRIA C/ 03 GAVETAS MED 1 30 X 0 70 X 0 74 M
43,3133,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETARIA C/ 3 GAVETAS MED 1 30X0 70X0 74M
44,3135,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETÁRIA C/ 03 GAVETAS MED 1 30 X 0 70 X 0 74 M
45,3136,INSERVIVEL,160,16,22/06/2001,20/06/2002,,MESA PARA ESCRITORIO EM MADEIRA,DE LEI TIPO SECRETÁRIA C/ 03 GAVETAS MED 1 30 X 0 70 X 0 74 M
46,3256,INSERVIVEL,3499,"349,9",29/08/2001,12/08/2002,,PAINEL ELETRONICO,COM IMPRESSORA PARA SENHA(SÉRIE: 2499010708419)
47,3328,INSERVIVEL,100,10,,,,MESA PARA ESCRITORIO EM MADEIRA,C/ 02 GAVETAS
48,3350,INSERVIVEL,190,19,18/10/2001,10/10/2002,,MESA PARA ESCRITORIO EM MADEIRA,TIPO ESCRIVANINHA
49,3388,INSERVIVEL,180,18,15/03/2002,14/03/2003,,EXTINTOR DE INCENDIO CO2,de 6 k
50,3390,INSERVIVEL,180,18,15/03/2002,14/03/2003,,EXTINTOR DE INCENDIO CO2,DE 06 K
51,3403,INSERVIVEL,3543,"354,3",14/11/2001,14/11/2001,65-5000,GRUPO GERADOR PORTATIL,GASOLINA
52,3449,INSERVIVEL,1850,185,27/12/2001,03/11/2001,,MINI-CENTRAL DE AR CONDICIONADO,SPLIT DE 12000 BTU´S
53,3513,INSERVIVEL,280,28,25/04/2002,25/04/2003,,ARMARIO PARA COZINHA EM MADEIRA,DE LEI TRABALHADO C/PRATELEIRAS INTERNAS MED 0 50X2 08X0 40M
54,3518,INSERVIVEL,"1741,5","174,15",,,,CONDICIONADOR DE AR DE PAREDE,DE 30000BTUS
55,3528,INSERVIVEL,1925,"192,5",13/05/2002,13/05/2003,,CONDICIONADOR DE AR DE PAREDE,30000 BTUS 220V
56,3548,INSERVIVEL,400,40,19/06/2002,19/06/2003,,ESTANTE EM MADEIRA,DE LEI
57,3735,INSERVIVEL,190,19,06/09/2002,06/09/2002,,MESA PARA ESCRITORIO EM MADEIRA,MEDINDO 1 25MX0 70MX0 74M COM 3 GAVETAS
58,3829,INSERVIVEL,1170,117,14/10/2002,07/10/2005,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS,CONECTOR 145 110X220
59,3870,INSERVIVEL,1185,"118,5",23/10/2002,23/10/2002,,TELEVISOR EM CORES,29 POLEGADAS/ CONTROLES
60,3871,INSERVIVEL,1185,"118,5",23/10/2002,23/10/2002,,TELEVISOR EM CORES,29 POLEGADAS/ CONTROLES
61,3876,INSERVIVEL,1185,"118,5",23/10/2002,23/10/2002,,TELEVISOR EM CORES,29 POLEGADAS/ CONTROLES
62,3901,INSERVIVEL,526,"52,6",30/10/2002,30/10/2003,EC-971B,APARELHO DE VIDEO CASSETE,DE 4 CABEÇAS C/ CONTROLE
63,3904,INSERVIVEL,526,"52,6",30/10/2002,30/10/2003,EC-971B,APARELHO DE VIDEO CASSETE,DE 4 CABEÇAS C/ CONTROLE
64,3909,INSERVIVEL,526,"52,6",30/10/2002,30/10/2003,EC-971B,APARELHO DE VIDEO CASSETE,DE 4 CABEÇAS C/ CONTROLE
65,3911,INSERVIVEL,1170,117,30/10/2002,30/10/2003,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS,CONECTOR RJ45
66,3913,INSERVIVEL,248,"24,8",07/11/2002,30/10/2003,,ARMARIO ALTO EM ACO,COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS MED APROX 200X0 40X1 00 COR CINZA
67,3977,INSERVIVEL,1650,165,11/11/2002,11/11/2003,,CONDICIONADOR DE AR DE PAREDE,DE 30000 BETUS 220 WATS
68,4013,INSERVIVEL,263,"26,3",12/12/2002,08/12/2003,38BR,SCANNER DE MESA,EASYSCAN 450P 19200DPI
69,4038,INSERVIVEL,"8074,47","807,45",16/01/2003,07/02/2005,,CPU DO SERVIDOR E SERVER 342 PIII,
70,4039,INSERVIVEL,"4935,7","493,57",16/01/2003,07/02/2005,,SWITCH SERVER,KVM
71,4043,INSERVIVEL,20500,2050,22/01/2003,13/01/2004,500,IMPRESSORA JATO DE TINTA,TIPO PLOTTER PADRÃO 16MB RESOLUÇÃO 1200 X 600 DPI
72,4094,INSERVIVEL,200,20,04/02/2003,22/01/2004,5003,CADEIRA GIRATORIA EM TECIDO,COM BRAÇO COR AZUL
73,4120,INSERVIVEL,200,20,04/02/2003,22/01/2004,5003,CADEIRA GIRATORIA EM TECIDO,COM BRAÇO COR AZUL
74,4124,INSERVIVEL,200,20,04/02/2003,22/01/2004,5003,CADEIRA GIRATORIA EM TECIDO,COM BRAÇO COR AZUL
75,4125,INSERVIVEL,200,20,04/02/2003,22/01/2004,5003,CADEIRA GIRATORIA EM TECIDO,COM BRAÇO COR AZUL
76,4142,INSERVIVEL,97,"9,7",17/02/2003,23/01/2004,1516,MESA PARA MICROCOMPUTADOR,COM TAMPO DE AGLORAMERADO REVEST EM MELAMINIO C/REG DE ALT DA BASE P/TEC TAMPO MED 0 90X0 70X0 75M
77,4150,INSERVIVEL,97,"9,7",17/02/2003,23/01/2004,1516,MESA PARA MICROCOMPUTADOR,COM TAMPO DE AGLORAMERADO REVEST EM MELAMINIO C/REG DE ALT DA BASE P/TEC TAMPO MED 0 90X0 70X0 75M
78,4158,INSERVIVEL,97,"9,7",17/02/2003,23/01/2004,1516,MESA PARA MICROCOMPUTADOR,COM TAMPO DE AGLORAMERADO REVEST EM MELAMINIO C/REG DE ALT DA BASE P/TEC TAMPO MED 0 90X0 70X0 75M
79,4164,INSERVIVEL,"1833,33","183,33",04/02/2003,22/01/2004,,CONDICIONADOR DE AR DE PAREDE,30000 BTUS
80,4231,INSERVIVEL,230,23,26/05/2003,26/05/2004,,RACK EM ACO PARA HUB,PORTA EM ACRÍLICO DE PAREDE PARA HUB DE PORTAS
81,4291,INSERVIVEL,633,"63,3",11/07/2003,11/07/2004,,REFRIGERADOR TIPO RESIDENCIAL,
82,4299,INSERVIVEL,210,21,,,,ARMARIO SUSPENSO EM MADEIRA,EM MADEIRA DE LEI MEDINDO 0 60X1 51X0 40M
83,4311,INSERVIVEL,"862,5","86,25",,,,MESA PARA ESCRITORIO EM MADEIRA,EM CURVA COM 6 GAVETAS MEDINDO 1 50X232 CM DE COMPRIMENTO
84,4317,INSERVIVEL,620,62,28/07/2003,28/07/2004,,MESA PARA REUNIAO EM MELAMINIO,FORMATO OVAL MEDINDO 2 30X1 20X0 74M NA CINZA
85,4411,INSERVIVEL,120,12,28/11/2003,19/11/2004,,MALETA PARA DOCUMENTOS,
86,4450,INSERVIVEL,228,"22,8",11/06/2004,09/06/2005,EL-1801P,CALCULADORA PROFISSIONAL DE MESA,COM VISOR FITA E BOBINA VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES CALCULOS DE PORCENTAGEM
87,4454,INSERVIVEL,228,"22,8",11/06/2004,09/06/2005,EL-1801P,CALCULADORA PROFISSIONAL DE MESA,COM VISOR FITA E BOBINA VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES CALCULOS DE PORCENTAGEM
88,4457,INSERVIVEL,228,"22,8",11/06/2004,09/06/2005,EL-1801P,CALCULADORA PROFISSIONAL DE MESA,COM VISOR FITA E BOBINA VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES CALCULOS DE PORCENTAGEM
89,4496,INSERVIVEL,228,"22,8",,,,MESA PARA MICROCOMPUTADOR,EM MELAMÍNIO MEDINDO 1 60 X 0 68 X 074 M
90,4565,INSERVIVEL,500,50,30/06/2004,28/06/2005,,MESA PARA ESCRITORIO EM MADEIRA,MAÇICA MEDINDO 160X76X74 COM 6 GAVETAS
91,4633,INSERVIVEL,235,"23,5",06/07/2004,02/07/2005,,ARQUIVO EM ACO,COM 4 GAVETAS
92,4647,INSERVIVEL,398,"39,8",06/07/2004,01/07/2005,,NO BREAK,1200 VA NET STATION
93,4659,INSERVIVEL,"1662,5","166,25",07/07/2004,07/07/2005,,CONDICIONADOR DE AR DE PAREDE,21000 BTUS
94,4660,INSERVIVEL,"1662,5","166,25",07/07/2004,07/07/2005,,CONDICIONADOR DE AR DE PAREDE,21000 BTUS
95,4665,INSERVIVEL,"1662,5","166,25",07/07/2004,07/07/2005,,CONDICIONADOR DE AR DE PAREDE,21000 BTUS
96,4880,INSERVIVEL,360,36,,,,ARMARIO ALTO EM MELAMINIO,COM 2 PORTAS MEDINDO 1 60X40X100
97,4881,INSERVIVEL,360,36,,,,ARMARIO ALTO EM MELAMINIO,COM 2 PORTAS MEDINDO 1 60X40X100
98,4889,INSERVIVEL,"1149,09","114,91",,,,ESTANTE EM ACO,COM 5 PRATELEIRAS MED 3 00X0 60X16M
99,4892,INSERVIVEL,104,"10,4",28/07/2004,27/07/2005,,EXTINTOR DE INCENDIO PÓ QUÍMICO PRESSURIZADO,4 KG
100,4894,INSERVIVEL,"1149,09","114,91",,,,ESTANTE EM ACO,COM 5 PRATELEIRAS MED 3 00X0 60X16M
101,4923,INSERVIVEL,"132,22","13,22",,,,CARRINHO COM BANDEIJA PLÁSTICA,ESTRUTURA EM AÇO NA COR PRETA
102,4945,INSERVIVEL,700,70,13/08/2004,01/08/2005,,DVD-218,DVD PLAYER
103,4965,INSERVIVEL,"492,52","49,25",,,,BANCADA DE TRABALHO,COM 3 00X0 50X0 82CM RODÍZIO COM FREIOS 16 TOMADAS FÊMEAS BIPOLAR E CABO COM TOMADA
104,5002,INSERVIVEL,247,"24,7",,,,ARMARIO ALTO EM MELAMINIO,COM DUAS PORTAS NA COR CINZA - MEDINDO 0 90X0 44X1 60M
105,5026,INSERVIVEL,98,"9,8",20/09/2004,20/09/2004,,TAIFF TURBO,SECADOR DE CABELO PORTATIL
106,5045,INSERVIVEL,169,"16,9",18/10/2004,15/04/2005,,MESA PARA MICROCOMPUTADOR,EM MELAMINIO MED 1 70X0 68X0 75
107,5048,INSERVIVEL,694,694,28/10/2004,14/09/2004,KX-FT71LA-B,APARELHO DE FAX,
108,5049,INSERVIVEL,694,694,28/10/2004,14/09/2004,KX-FT71LA-B,APARELHO DE FAX,
109,5052,INSERVIVEL,694,694,28/10/2004,14/09/2004,KX-FT71LA-B,APARELHO DE FAX,
110,5056,INSERVIVEL,694,694,28/10/2004,14/09/2004,KX-FT71LA-B,APARELHO DE FAX,
111,5267,INSERVIVEL,"594,97","59,5",02/12/2004,01/12/2005,BC-92S HB,MOTO BOMBA CENTRIFUGA,MONO-ESTÁGIO 1 1/2 CV/220V SUCCÃO 11/4 E CHAVE DE COMANDO 1 1/2CV 220V
112,5273,INSERVIVEL,240,24,16/12/2004,09/06/2005,,MESA PARA MICROCOMPUTADOR,EM MADEIRA MEDINDO 120X075X060 COM 01 GAVETA PARA TECLADO
113,5330,INSERVIVEL,225,"22,5",,,,EXTINTOR DE INCENDIO CO2,COM 6 KG
114,5331,INSERVIVEL,225,"22,5",,,,EXTINTOR DE INCENDIO CO2,COM 6 KG
115,5507,INSERVIVEL,"273,09","27,31",,,,CADEIRA GIRATÓRIA S/BRAÇOS,COM ASSENTO E ENCOSTO EM ESPUMA
116,5509,INSERVIVEL,"273,09","27,31",,,,CADEIRA GIRATÓRIA S/BRAÇOS,COM ASSENTO E ENCOSTO EM ESPUMA
117,5521,INSERVIVEL,"131,03","13,1",,,,CADEIRA FIXA S/BRAÇO,COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL
118,5526,INSERVIVEL,"131,03","13,1",,,,CADEIRA FIXA S/BRAÇO,COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL
119,5612,INSERVIVEL,"267,2","26,72",,,,POLTRONA FIXA COM BRAÇO,
120,5626,INSERVIVEL,"511,86","51,19",,,,MESA PARA REUNIÃO,EM FORMA REDONDA
121,5630,INSERVIVEL,2500,250,,,,MESA INTEGRADA,COM PAINEL FRONTAL E HORIZONTAL COM 4 SUPORTES PARA CPU
122,5740,INSERVIVEL,"370,2","37,02",,,,POLTRONA FIXA,EM COURO SINTETICO SOBRE LONGARINA
123,5741,INSERVIVEL,"370,2","37,02",,,,POLTRONA FIXA,EM COURO SINTETICO SOBRE LONGARINA
124,5760,INSERVIVEL,"370,2","37,02",,,,POLTRONA FIXA,EM COURO SINTETICO SOBRE LONGARINA
125,5761,INSERVIVEL,"370,2","37,02",,,,POLTRONA FIXA,EM COURO SINTETICO SOBRE LONGARINA
126,5762,INSERVIVEL,"370,2","37,02",,,,POLTRONA FIXA,EM COURO SINTETICO SOBRE LONGARINA
127,5763,INSERVIVEL,"370,2","37,02",,,,POLTRONA FIXA,EM COURO SINTETICO SOBRE LONGARINA
128,5790,INSERVIVEL,"773,94","77,39",,,,BANCADA DE TRABALHO,ESTRUTURA METALICA NA COR PRETA COM TAMPO EM MELAMINIO BRANCO GELO MED 2 75X0 50X0 82 COM RODÍZIOS
129,5807,INSERVIVEL,1000,100,,,,MESA EM MELAMINIO,
130,5809,INSERVIVEL,"5310,02",531,,,,MESA INTEGRADA,TIPO U COM 2 SUPORTES PARA CPU
131,5887,INSERVIVEL,340,34,22/07/2005,22/07/2006,5012-03 + 5021,CADEIRA GIRATORIA EM TECIDO,NA COR AZUL MARINH0
132,5892,INSERVIVEL,340,34,22/07/2005,22/07/2006,5012-03 + 5021,CADEIRA GIRATORIA EM TECIDO,NA COR AZUL MARINH0
133,5906,INSERVIVEL,340,34,22/07/2005,22/07/2006,5012-03 + 5021,CADEIRA GIRATORIA EM TECIDO,NA COR AZUL MARINH0
134,5938,INSERVIVEL,500,50,,,,BALCAO EM MADEIRA,MACIÇA MEDINDO 3 95 X1 30X0 60M
135,5947,INSERVIVEL,690,69,12/08/2005,12/08/2006,,FOGAO TIPO RESIDENCIAL,COM COM 04 BOCAS
136,5975,INSERVIVEL,260,26,,,,MOTO BOMBA CENTRIFUGA,1/2 CV COM SAÍDA 3/4
137,5992,INSERVIVEL,"261,38","26,14",,,,EXTINTOR DE INCENDIO CO2,6 KG
138,6000,INSERVIVEL,200,20,,,,PRATELEIRA COM TAMPA,EM MADEIRA ESTRUTURA DE FERRO COM SUPORTE E MÃO-DE-FORCA INSTALADA PARTIR 2 METROS DE ALTURA DO CHÃO PROFUNDIDADE DE 40 CM ALTURA DE 50 CM CADA UMA 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS
139,6001,INSERVIVEL,200,20,,,,PRATELEIRA COM TAMPA,EM MADEIRA ESTRUTURA DE FERRO COM SUPORTE E MÃO-DE-FORCA INSTALADA PARTIR 2 METROS DE ALTURA DO CHÃO PROFUNDIDADE DE 40 CM ALTURA DE 50 CM CADA UMA 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS
140,6002,INSERVIVEL,1248,"124,8",22/12/2005,22/12/2006,MCA105BB,CONDICIONADOR DE AR DE PAREDE,10000BTUS DE 220WATS
141,6003,INSERVIVEL,1248,"124,8",22/12/2005,22/12/2006,MCA105BB,CONDICIONADOR DE AR DE PAREDE,10000BTUS DE 220WATS
142,6066,INSERVIVEL,"241,88","24,19",24/02/2006,24/02/2008,,MONITOR DE VIDEO POLICROMATICO,
143,6070,INSERVIVEL,"199,92","19,99",24/02/2006,24/02/2008,,TECLADO PARA MICROCOMPUTADOR,
144,6159,INSERVIVEL,"2869,5","286,95",,,,MICROCOMPUTADOR COM PROCESSADOR PENTIUM IV,
145,6205,INSERVIVEL,150,15,22/04/2006,16/03/2009,,MONITOR DE VIDEO POLICROMATICO,
146,6307,INSERVIVEL,523,"52,3",,,DT-320,DVD PLAYER,PORTÁTIL
