Item,Patrimonio,Sit Física,Valor de Aquisição,Valor Bruto Atual,Garantia_inicio,Garantia_fim,Modelo,Descricao,Caraacteristicas
147,6308,INSERVIVEL,"656,01","656,01",,,2G 3201,ROTEADOR PARA REDES,
148,6315,INSERVIVEL,364,"36,4",,,,GAVETEIRO VOLANTE EM MELAMINIO,COM 3 GAVETAS / CHAVES NA COR CINZA
149,6323,INSERVIVEL,2500,250,06/06/2006,20/04/2007,KV-34FS110,TELEVISOR EM CORES,34 POLEGADAS
150,6328,INSERVIVEL,"3495,32","349,53",07/06/2006,01/03/2009,2950T,SWITCH,
151,6369,INSERVIVEL,259,259,30/08/2006,30/01/2007,D-203,DVD PLAYER,
152,6379,INSERVIVEL,1746,1746,05/09/2006,29/01/2007,MAP 60CSX,APARELHO DE GPS,(SISTEMA DE POSICIONAMENTO GLOBAL)
153,6399,INSERVIVEL,4035,4035,,,,BALCAO PARA ATENDIMENTO,EM MELAMINIO COM PAINÉIS 1 20 X0 73M 1MEDINDO 0 90X1 08M COM DOIS MÓDULOS
154,6400,INSERVIVEL,4035,4035,,,,BALCAO PARA ATENDIMENTO,EM MELAMINIO COM PAINÉIS 1 20 X0 73M 1MEDINDO 0 90X1 08M - COM DOIS MÓDULOS
155,6463,BOM,"1435,25","1435,25",29/12/2006,12/12/2007,SILENTIA,MINI-CENTRAL DE AR CONDICIONADO,TIPO SPLIT CAPACIDADE 12000 BTUS
156,6464,INSERVIVEL,"1435,25","1435,25",29/12/2006,12/12/2007,SILENTIA,MINI-CENTRAL DE AR CONDICIONADO,TIPO SPLIT CAPACIDADE 12000 BTUS
157,6468,INSERVIVEL,"408,42","408,42",12/01/2007,22/06/2007,FAX-575,APARELHO DE FAX,- PAPEL PLANO
158,6496,INSERVIVEL,84,84,,,ANATÔMICA,CADEIRA FIXA EM TECIDO,NA COR AZUL MARINHO
159,6500,INSERVIVEL,223,223,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA,NA COR AZUL MARINHO
160,6503,INSERVIVEL,223,223,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA,NA COR AZUL MARINHO
161,6536,INSERVIVEL,"728,06","72,81",13/03/2007,13/03/2008,,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
162,6541,INSERVIVEL,"728,06","72,81",13/03/2007,13/03/2008,,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
163,6545,INSERVIVEL,"728,06","72,81",13/03/2007,13/03/2008,LM722,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
164,6548,INSERVIVEL,"728,06","72,81",13/03/2007,13/03/2008,LM722,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
165,6550,INSERVIVEL,"728,06","72,81",13/03/2007,13/03/2008,LM722,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
166,6551,INSERVIVEL,"728,06","72,81",13/03/2007,13/03/2008,LM722,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
167,6576,INSERVIVEL,2400,2400,16/04/2007,16/04/2008,SURTA 3000XL,NO BREAK,3KVA/ 18 KW PARA RACK 19
168,6579,INSERVIVEL,2400,2400,16/04/2007,16/04/2008,SURTA 3000XL,NO BREAK,3KVA/ 18 KW PARA RACK 19
169,6581,INSERVIVEL,394,394,04/06/2007,30/11/2007,KRU-302,RECEPTOR DE MICROFONE,SISTEMA WIRELESS MICROPHONE SYSTEM
170,6583,INSERVIVEL,350,350,07/05/2007,03/05/2008,PS 500,CAIXA ACUSTICA,DE 75 W
171,6584,INSERVIVEL,350,350,07/05/2007,03/05/2008,PS 500,CAIXA ACUSTICA,DE 75 W
172,6595,INSERVIVEL,1248,1248,20/05/2007,16/02/2008,SECRETÁRIO,ESTAÇÃO DE TRABALHO C/ UM MÓDULO - TIPO SECRETÁRIO,MEDINDO 135 X 135 X 060 X 060 X 074CM
173,6652,INSERVIVEL,1150,1150,20/05/2007,16/02/2008,PADRÃO,ARMARIO ALTO - C/ DUAS PORTAS DE CORRER,MEDINDO 090CM DE LARG 050CM DE PROF E 163CM DE ALTURA
174,6810,INSERVIVEL,150,150,04/06/2007,30/11/2007,KST-5U,MICROFONE SEM FIO,SISTEMA WIRELESS MICROPHONE SYSTEM
175,6811,INSERVIVEL,150,150,04/06/2007,30/11/2007,KST-5U,MICROFONE SEM FIO,SISTEMA WIRELESS MICROPHONE SYSTEM
176,6814,INSERVIVEL,880,880,22/06/2007,19/06/2008,CYBER-SHOT DSC-S650,CÂMERA FOTOGRÁFICA DIGITAL,72 MEGA PIXELS COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 20
177,6815,INSERVIVEL,880,880,22/06/2007,19/06/2008,CYBER-SHOT DSC-S650,CÂMERA FOTOGRÁFICA DIGITAL,72 MEGA PIXELS COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 20
178,6834,INSERVIVEL,1289,1289,09/07/2007,02/07/2008,GJ21,CONDICIONADOR DE AR DE PAREDE,DE 21000 BETUS
179,6837,INSERVIVEL,1289,1289,09/07/2007,02/07/2008,GJ21,CONDICIONADOR DE AR DE PAREDE,DE 21000 BETUS
180,6844,INSERVIVEL,"2437,6","2437,6",17/08/2007,17/08/2008,SPLIT,MINI-CENTRAL DE AR CONDICIONADO,DE 30000 BTÚS CONDENSADORA SÉRIE-471965
181,6851,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
182,6852,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
183,6854,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
184,6855,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
185,6856,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
186,6857,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
187,6858,INSERVIVEL,775,775,,,,BANCADA DE TRABALHO,EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
188,6967,INSERVIVEL,229,229,,,,CINZEIRO LIXEIRA,INOX MEDINDO 0 30 CM DIAMETRO X 0 70 CM ALTURA
189,6968,INSERVIVEL,229,229,,,,CINZEIRO LIXEIRA,INOX MEDINDO 0 30 CM DIAMETRO X 0 70 CM ALTURA
190,6976,INSERVIVEL,789,789,,,,BANCADA DE TRABALHO,PARA SUPORTE DE URNAS ELETRÔNICAS
191,6979,INSERVIVEL,789,789,,,,BANCADA DE TRABALHO,PARA SUPORTE DE URNAS ELETRÔNICAS
192,6984,INSERVIVEL,789,789,,,,BANCADA DE TRABALHO,PARA SUPORTE DE URNAS ELETRÔNICAS
193,7044,INSERVIVEL,564,"112,8",15/04/2008,14/04/2009,CT 12,HEADSET APARELHO COM FONE DE OUVIDO E MICROFONE,SEM FIO 24 GHZ
194,7045,INSERVIVEL,564,"112,8",15/04/2008,14/04/2009,CT 12,HEADSET APARELHO COM FONE DE OUVIDO E MICROFONE,SEM FIO 24 GHZ
195,7046,INSERVIVEL,564,"112,8",15/04/2008,14/04/2009,CT 12,HEADSET APARELHO COM FONE DE OUVIDO E MICROFONE,SEM FIO 24 GHZ
196,7052,INSERVIVEL,600,120,,,FAX-575,APARELHO DE FAX,PAPEL A4
197,7053,INSERVIVEL,"151,8","151,8",,,700USX,DVD PLAYER,COM CONTROLE
198,7073,INSERVIVEL,1500,150,15/05/2008,15/05/2008,GTE-650,MESA DIGITAL,DE 6X8
199,7079,INSERVIVEL,1289,1289,30/05/2008,30/05/2008,,CONDICIONADOR DE AR DE PAREDE,21000 BTU´S TENSÃO 220 V
200,7097,INSERVIVEL,2245,2245,20/06/2008,16/06/2009,EMP-X5,PROJETOR MULTIMIDIA,RESOLUÇÃO NATIVA XGA (1024 X 768)
201,7102,INSERVIVEL,"248,16","24,82",25/06/2008,20/06/2009,G2710,SCANNER DE MESA,FOTOGRÁFICO SCANJET
202,7103,INSERVIVEL,"248,16","24,82",25/06/2008,20/06/2009,G2710,SCANNER DE MESA,FOTOGRÁFICO SCANJET
203,7115,INSERVIVEL,90,18,15/07/2008,09/07/2010,ST-P101A,HEADSET APARELHO COM FONE DE OUVIDO E MICROFONE,
204,7160,INSERVIVEL,274,"27,4",31/07/2008,11/03/2011,M56K,MODEM,EXTERNO 56K
205,7185,INSERVIVEL,"264,62","264,62",30/07/2008,24/07/2009,,POLTRONA GIRATORIA EM COURVIM,TIPO DIRETOR COM BRAÇOS ESPALDAR MÉDIO
206,7187,INSERVIVEL,"239,04","239,04",30/07/2008,24/07/2009,,POLTRONA GIRATORIA EM COURVIM,COM BRAÇOS ESPALDAR MÉDIO COR PRETA
207,7191,INSERVIVEL,"239,04","239,04",30/07/2008,24/07/2009,,POLTRONA GIRATORIA EM COURVIM,COM BRAÇOS ESPALDAR MÉDIO COR PRETA
208,7192,INSERVIVEL,"239,04","239,04",30/07/2008,24/07/2009,,POLTRONA GIRATORIA EM COURVIM,COM BRAÇOS ESPALDAR MÉDIO COR PRETA
209,7194,INSERVIVEL,"239,04","239,04",30/07/2008,24/07/2009,,POLTRONA GIRATORIA EM COURVIM,COM BRAÇOS ESPALDAR MÉDIO COR PRETA
210,7215,INSERVIVEL,"564,99","564,99",30/08/2008,04/08/2009,ADATTARE,ARMÁRIO ALTO EXECUTIVO - C/ DUAS PORTAS DE CORRER,MEDINDO 90X50X163
211,7246,INSERVIVEL,"5140,56","5140,56",15/08/2008,15/08/2009,MOBILE,BALCAO DE ATENDIMENTO - EM MDF SOB MEDIDA,BALCÃO DE ATENDIMENTO
212,7248,INSERVIVEL,100,100,15/08/2008,15/08/2009,MOBILE,SUPORTE SUPORTE PARA CPU,SUPORTE PARA CPU
213,7249,INSERVIVEL,100,100,15/08/2008,15/08/2009,MOBILE,SUPORTE SUPORTE PARA CPU,SUPORTE PARA CPU
214,7265,INSERVIVEL,"2375,99","2375,99",30/08/2008,05/08/2009,,MINI-CENTRAL DE AR CONDICIONADO,30000 BTUS
215,7272,INSERVIVEL,"379,9","40,75",10/09/2008,10/09/2009,S860,CÂMERA FOTOGRÁFICA DIGITAL,81 MEGAPIXELS ZOOM ÓPTICO 3X LCD 2 4
216,7273,INSERVIVEL,"379,9","40,75",10/09/2008,10/09/2009,S860,CÂMERA FOTOGRÁFICA DIGITAL,81 MEGAPIXELS ZOOM ÓPTICO 3X LCD 2 4
217,7275,INSERVIVEL,"379,9","40,75",10/09/2008,10/09/2009,S860,CÂMERA FOTOGRÁFICA DIGITAL,81 MEGAPIXELS ZOOM ÓPTICO 3X LCD 2 4
218,7277,INSERVIVEL,"379,9","40,75",10/09/2008,10/09/2009,S860,CÂMERA FOTOGRÁFICA DIGITAL,81 MEGAPIXELS ZOOM ÓPTICO 3X LCD 2 4
219,7279,INSERVIVEL,"379,9","40,75",10/09/2008,10/09/2009,S860,CÂMERA FOTOGRÁFICA DIGITAL,81 MEGAPIXELS ZOOM ÓPTICO 3X LCD 2 4
220,7296,INSERVIVEL,"1029,99","1029,99",27/02/2008,11/01/2009,SPLIT,MINI-CENTRAL DE AR CONDICIONADO,MINI-CENTRAL DE AR CONDICIONADO SPLIT 12000 BTUS KOS 12 FC-G2B
221,7346,INSERVIVEL,586,"66,8",13/10/2008,10/10/2009,NET4+,NO BREAK,14 KVA
222,7393,INSERVIVEL,"1918,4","191,84",18/09/2008,15/09/2008,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E6750 (266 GHZ) 2 GB DE MEMÓRIA RAM DISCO RÍGIDO 160GB
223,7394,INSERVIVEL,"1918,4","191,84",18/09/2008,15/09/2008,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E6750 (266 GHZ) 2 GB DE MEMÓRIA RAM DISCO RÍGIDO 160GB
224,7399,INSERVIVEL,"1918,4","191,84",18/09/2008,15/09/2008,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E6750 (266 GHZ) 2 GB DE MEMÓRIA RAM DISCO RÍGIDO 160GB
225,7402,INSERVIVEL,"1918,4","191,84",18/09/2008,15/09/2008,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E6750 (266 GHZ) 2 GB DE MEMÓRIA RAM DISCO RÍGIDO 160GB
226,7420,INSERVIVEL,"434,98","43,5",07/10/2008,01/10/2009,718SWAG-1,MONITOR LCD - CRISTAL LIQUIDO,SVGA 17 POLEGADAS
227,7429,INSERVIVEL,"434,98","43,5",07/10/2008,01/10/2009,177SA-1,MONITOR LCD - CRISTAL LIQUIDO,SVGA 17 POLEGADAS
228,7433,INSERVIVEL,"434,98","43,5",07/10/2008,01/10/2009,177SA-1,MONITOR LCD - CRISTAL LIQUIDO,SVGA 17 POLEGADAS
229,7454,INSERVIVEL,249,"28,34",07/10/2008,07/10/2009,,CALCULADORA ELETRONICA,DE MESA COM VISOR E IMPRESSORA
230,7488,INSERVIVEL,"1301,56","130,16",30/10/2008,13/10/2009,6073BA4,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO 2GB RAM HD 160 GB DVD/RW
231,7504,INSERVIVEL,324,"32,4",30/10/2008,13/10/2009,4428-AB1,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
232,7505,INSERVIVEL,324,"32,4",30/10/2008,13/10/2009,4428-AB1,MONITOR LCD - CRISTAL LIQUIDO,17 POLEGADAS
233,7558,INSERVIVEL,"6613,5","661,35",06/11/2008,31/10/2008,,UNIDADE DE BACKUP,LTO
234,7569,INSERVIVEL,"1918,4","191,84",22/12/2008,19/12/2009,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E8400 (30 GHZ) 2GB RAM HD 160 GB DVD/RW
235,7573,INSERVIVEL,"1918,4","191,84",22/12/2008,19/12/2009,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E8400 (30 GHZ) 2GB RAM HD 160 GB DVD/RW
236,7577,INSERVIVEL,"1918,4","191,84",22/12/2008,19/12/2009,THINKCENTRE M57P,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E8400 (30 GHZ) 2GB RAM HD 160 GB DVD/RW
237,7598,INSERVIVEL,290,"71,91",13/03/2009,13/03/2010,FAX-575,APARELHO DE FAX,
238,7622,INSERVIVEL,"132,99","22,99",08/06/2009,05/11/2009,,DESUMIDIFICADOR DE PAPEL,CAPACIDADE 1500 FLS
239,7657,INSERVIVEL,883,"154,8",17/06/2009,17/06/2010,UHF 255,SISTEMA DE MICROFONES SEM FIO,DUPLO CONTENDO: 01 RECEPTOR (S/N 255080901417) E 02 MICROFONES DE MÃO
240,7714,INSERVIVEL,"459,5","93,8",26/10/2009,26/10/2010,LM-1600,LAVADORA DE ALTA PRESSÃO,POTÊNCIA: 1600 W VAZÃO: 360 L/H
241,7808,INSERVIVEL,"415,86","88,26",17/11/2009,17/11/2010,BC-98SC,MOTO BOMBA CENTRIFUGA,1/2CV MONOFÁSICA 60HZ
242,7809,INSERVIVEL,1062,"225,15",24/11/2009,24/11/2010,MINIMAXI,CONDICIONADOR DE AR DE PAREDE,12000 BTUS 220 V
243,7810,INSERVIVEL,1062,"225,15",24/11/2009,24/11/2010,MINIMAXI,CONDICIONADOR DE AR DE PAREDE,12000 BTUS 220 V
244,7828,INSERVIVEL,350,"186,94",,,EGC35B,BEBEDOURO DE AGUA EM AÇO INOX,TIPO COLUNA
245,7843,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
246,7844,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
247,7845,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
248,7846,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
249,7850,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
250,7852,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
251,7853,INSERVIVEL,1180,1180,20/01/2010,19/01/2013,LASERJET P2055DN,IMPRESSORA LASER,MONOCROMÁTICA
252,7854,INSERVIVEL,"1034,19","1034,19",20/01/2010,11/01/2010,LQ-590,IMPRESSORA MATRICIAL,
253,7856,INSERVIVEL,"1034,19","1034,19",20/01/2010,11/01/2010,LQ-590,IMPRESSORA MATRICIAL,
254,7865,INSERVIVEL,"10343,11","10343,11",,,5140S,FRAGMENTADORA DE PAPEL,FRAGMENTADORA DE PAPEL MARCA EBA MODELO 5140S
255,7869,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
256,7870,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
257,7871,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
258,7872,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
259,7873,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
260,7874,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
261,7878,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
262,7879,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
263,7880,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
264,7882,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
265,7886,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
266,7887,INSERVIVEL,1180,1180,,,LASERJET P2055DN,IMPRESSORA LASERJET,
267,7904,INSERVIVEL,424,424,,,,FOGAO TIPO RESIDENCIAL,04 (QUATRO) BOCAS FORNO AUTOLIMPANTE
268,7930,INSERVIVEL,"1034,19","1034,19",,,LQ-590,IMPRESSORA MATRICIAL,
269,7932,INSERVIVEL,899,899,,,,PAINEL ELETRONICO,DE SENHAS
270,7942,INSERVIVEL,355,355,,,,CARRO TUBULAR PARA TRANSPORTE DE MATERIAL 2 RODAS,
271,8054,INSERVIVEL,"86,94","86,94",,,OS6014,APARELHO TELEFONICO SEM FIO,TELEFONE SEM FIO [HANDSET]
272,8059,INSERVIVEL,"86,94","86,94",,,OS6014,APARELHO TELEFONICO SEM FIO,TELEFONE SEM FIO [HANDSET]
273,8084,INSERVIVEL,"399,99","399,99",,,NW 1300BI,NO BREAK,NO BREAK SMS MODELO NETWINNER 1300BI
274,8092,INSERVIVEL,3650,3650,,,,MONITOR KVM 17 POLEGADAS COM TECLADO,
275,8111,INSERVIVEL,"217,35","217,35",,,,CADEIRA GIRATORIA EM TECIDO,ESPALDAR MÉDIO COR PRETA
276,8113,INSERVIVEL,"217,35","217,35",,,,CADEIRA GIRATORIA EM TECIDO,ESPALDAR MÉDIO COR PRETA
277,8114,INSERVIVEL,"217,35","217,35",,,,CADEIRA GIRATORIA EM TECIDO,ESPALDAR MÉDIO COR PRETA
278,8117,INSERVIVEL,"217,35","217,35",,,,CADEIRA GIRATORIA EM TECIDO,ESPALDAR MÉDIO COR PRETA
279,8121,INSERVIVEL,"217,35","217,35",,,,CADEIRA GIRATORIA EM TECIDO,ESPALDAR MÉDIO COR PRETA
280,8151,INSERVIVEL,"605,73","605,73",,,THINKVISION L2250P,MONITOR LCD - CRISTAL LIQUIDO,22 WIDESCREEN
281,8186,INSERVIVEL,"1598,16","1598,16",21/08/2010,21/08/2013,THINKCENTRE M58,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E7500 (293 GHZ) 2 X 2 GB DE RAM HD 320 GB DVDRW
282,8192,INSERVIVEL,"1598,16","1598,16",21/08/2010,21/08/2013,THINKCENTRE M58,MICROCOMPUTADOR COM PROCESSADOR,INTEL CORE 2 DUO E7500 (293 GHZ) 2 X 2 GB DE RAM HD 320 GB DVDRW
